teta = 0.400000, simil_thres = 0.500000, measure = short,
No hyperboxes, Training time, Testing error,
62,0.799195,0.187919,
61,0.79636,0.161074,
65,0.764258,0.177852,
62,0.786058,0.174497,
64,0.778372,0.147651,
60,0.740078,0.167785,
60,0.762815,0.174497,
62,0.776492,0.171141,
61,0.79608,0.157718,
64,0.824444,0.157718,
,,,
62.1,0.7824152,0.1677852,Mean
1.640121947,0.022361033,0.011230278,Std
60,0.740078,0.147651,Min
65,0.824444,0.187919,Max
