teta = 0.400000, simil_thres = 0.500000, measure = short,
No hyperboxes, Training time, Testing error,
41,0.451615,0.01,
39,0.392,0.01,
38,0.359107,0.01,
39,0.419585,0.01,
38,0.385248,0.015,
38,0.363614,0.01,
38,0.369412,0.005,
40,0.367343,0.01,
39,0.405447,0.015,
38,0.424807,0.01,
,,,
38.8,0.3938178,0.0105,Mean
0.979795897,0.029309464,0.002692582,Std
38,0.359107,0.005,Min
41,0.451615,0.015,Max
