teta = 0.400000, simil_thres = 0.500000, measure = short,
No hyperboxes, Training time, Testing error,
37,0.117524,0,
35,0.103731,0,
35,0.106136,0,
37,0.172552,0,
37,0.129661,0,
36,0.146665,0.027778,
38,0.19264,0.027778,
37,0.137343,0.055556,
37,0.123351,0,
35,0.107749,0,
,,,
36.4,0.1337352,0.0111112,Mean
1.019803903,0.028073474,0.018425841,Std
35,0.103731,0,Min
38,0.19264,0.055556,Max
