teta = 0.400000, simil_thres = 0.500000, measure = short,
No hyperboxes, Training time, Testing error,
130,0.168882,0.185185,
131,0.172257,0.166667,
130,0.181222,0.185185,
132,0.171377,0.185185,
130,0.161433,0.185185,
129,0.154666,0.166667,
131,0.165052,0.166667,
129,0.163595,0.185185,
131,0.167993,0.185185,
130,0.159389,0.185185,
,,,
130.3,0.1665866,0.1796296,Mean
0.9,0.007129611,0.008486014,Std
129,0.154666,0.166667,Min
132,0.181222,0.185185,Max
