teta = 0.400000, simil_thres = 0.500000, measure = short,
No hyperboxes, Training time, Testing error,
107,3.28196,0.041126,
105,3.280835,0.054113,
109,3.486759,0.047619,
103,3.393302,0.047619,
109,3.55849,0.036797,
108,3.212725,0.04329,
107,3.116383,0.04329,
105,3.257095,0.058442,
107,3.302042,0.045455,
107,3.277198,0.047619,
,,,
106.7,3.3166789,0.046537,Mean
1.791647287,0.123292018,0.005907963,Std
103,3.116383,0.036797,Min
109,3.55849,0.058442,Max
