teta = 0.400000 
No hyperboxes, Training time, Testing error
20.000000, 0.377740, 0.062603
19.000000, 0.329806, 0.056013
20.000000, 0.389793, 0.049423
19.000000, 0.296236, 0.011532
20.000000, 0.379451, 0.037891
21.000000, 0.379127, 0.054366
19.000000, 0.350161, 0.047776
20.000000, 0.342557, 0.029654
20.000000, 0.364957, 0.029654
21.000000, 0.313551, 0.041186
