teta = 0.400000 
No hyperboxes, Training time, Testing error
58.000000, 1.514076, 0.352349
60.000000, 1.105562, 0.429530
62.000000, 1.444424, 0.570470
58.000000, 1.143195, 0.382550
61.000000, 1.417786, 0.523490
56.000000, 0.965203, 0.395973
58.000000, 1.262270, 0.385906
59.000000, 1.274698, 0.409396
59.000000, 1.167232, 0.469799
65.000000, 1.075930, 0.372483
