num_classifiers = 5, num_folds = 10, teta = 0.400000, simil_thres = 0.500000, measure = short
No hyperboxes, Training time, Testing error
858.000000, 395.564362, 0.453378
838.000000, 382.208085, 0.447297
853.000000, 392.911030, 0.450676
858.000000, 389.797524, 0.454054
849.000000, 381.985339, 0.440541
873.000000, 396.218544, 0.454730
882.000000, 382.957649, 0.475676
893.000000, 392.360046, 0.470946
859.000000, 401.225810, 0.463514
865.000000, 395.657874, 0.447297
