num_classifiers = 5, num_folds = 10, teta = 0.400000, simil_thres = 0.500000, measure = short
No hyperboxes, Training time, Testing error
25.000000, 0.886901, 0.020000
25.000000, 0.873519, 0.020000
25.000000, 0.872937, 0.020000
25.000000, 0.922435, 0.020000
25.000000, 0.892579, 0.040000
25.000000, 0.887228, 0.020000
25.000000, 0.865841, 0.020000
25.000000, 0.938205, 0.000000
25.000000, 0.936824, 0.020000
25.000000, 0.849943, 0.020000
