num_classifiers = 5, num_folds = 10, teta = 0.400000, simil_thres = 0.500000, measure = short
No hyperboxes, Training time, Testing error
22.000000, 0.728479, 0.069767
22.000000, 0.804238, 0.093023
20.000000, 0.929232, 0.069767
19.000000, 0.851887, 0.093023
22.000000, 0.772249, 0.069767
20.000000, 0.761308, 0.069767
21.000000, 1.039002, 0.093023
19.000000, 0.714404, 0.046512
24.000000, 0.764766, 0.069767
23.000000, 0.751530, 0.093023
