teta = 0.400000, simil_thres = 0.500000, measure = short
No hyperboxes, Training time, Testing error
25.000000, 0.412993, 0.005000
25.000000, 0.351585, 0.005000
23.000000, 0.333575, 0.015000
25.000000, 0.425360, 0.005000
24.000000, 0.435444, 0.015000
25.000000, 0.363504, 0.015000
23.000000, 0.332522, 0.005000
24.000000, 0.348892, 0.005000
24.000000, 0.326079, 0.000000
23.000000, 0.374020, 0.005000
