teta = 0.400000, simil_thres = 0.500000, measure = short
No hyperboxes, Training time, Testing error
824.000000, 461.026725, 0.048649
833.000000, 464.862633, 0.050676
815.000000, 436.962543, 0.048649
825.000000, 470.384689, 0.043243
816.000000, 437.695027, 0.041216
813.000000, 436.081071, 0.040541
837.000000, 475.497480, 0.041892
826.000000, 448.144257, 0.047297
824.000000, 451.615830, 0.039865
810.000000, 13490.439051, 0.055405
