teta = 0.400000 
No hyperboxes, Training time, Testing error
149.000000, 0.218278, 0.214286
155.000000, 0.196674, 0.228571
148.000000, 0.268807, 0.242857
149.000000, 0.231399, 0.214286
159.000000, 0.243000, 0.214286
185.000000, 0.325886, 0.185714
168.000000, 0.368367, 0.200000
202.000000, 0.296304, 0.200000
153.000000, 0.202177, 0.214286
160.000000, 0.261840, 0.257143
