Training time, Testing error,
0.000601,0.055556,
0.000787,0.027778,
0.000813,0,
0.000547,0,
0.000785,0.027778,
0.000807,0.027778,
0.000563,0.027778,
0.000813,0,
0.000556,0,
0.000835,0,
,,
0.0007107,0.0166668,Mean
1.19E-04,1.84E-02,Std
0.000547,0,Min
0.000835,0.055556,Max
