Training time, Testing error,
0.004611,0.028169,
0.003762,0.014085,
0.004218,0.056338,
0.004273,0.014085,
0.002817,0.014085,
0.002823,0.028169,
0.002746,0.042254,
0.003951,0.056338,
0.004073,0.028169,
0.002798,0.070423,
,,
0.0036072,0.0352115,Mean
6.94E-04,1.92E-02,Std
0.002746,0.014085,Min
0.004611,0.070423,Max
