Training time, Testing error,
0.00434,0.017544,
0.006514,0.008772,
0.006528,0.008772,
0.006151,0.017544,
0.006541,0.026316,
0.006779,0.026316,
0.004988,0.008772,
0.006405,0.008772,
0.006449,0.017544,
0.005387,0.035088,
,,
0.0060082,0.017544,Mean
7.74E-04,8.77E-03,Std
0.00434,0.008772,Min
0.006779,0.035088,Max
