Training time, Testing error,
0.006967,0.090909,
0.005058,0.104377,
0.005874,0.080808,
0.005989,0.10101,
0.006221,0.090909,
0.006159,0.10101,
0.004215,0.090909,
0.006276,0.117845,
0.005811,0.084175,
0.006048,0.087542,
,,
0.0058618,0.0949494,Mean
7.09E-04,1.05E-02,Std
0.004215,0.080808,Min
0.006967,0.117845,Max
