Training time, Testing error,
0.000863,0.074074,
0.000867,0.055556,
0.00096,0.037037,
0.000633,0.055556,
0.000891,0.092593,
0.000925,0.037037,
0.00095,0.055556,
0.000926,0.018519,
0.000858,0.055556,
0.000838,0.018519,
,,
0.0008711,0.0500003,Mean
8.86E-05,2.20E-02,Std
0.000633,0.018519,Min
0.00096,0.092593,Max
