Training time, Testing error,
0.00368,0,
0.003943,0.001647,
0.002698,0.001647,
0.002733,0.001647,
0.003835,0.001647,
0.003736,0,
0.003766,0,
0.003737,0.001647,
0.003827,0.001647,
0.00369,0,
,,
0.0035645,0.0009882,Mean
4.31E-04,8.07E-04,Std
0.002698,0,Min
0.003943,0.001647,Max
