Training time, Testing error,
0.001229,0.005,
0.001815,0.005,
0.001755,0.02,
0.001692,0.015,
0.001766,0.005,
0.001152,0.01,
0.001789,0,
0.001202,0.005,
0.001712,0.005,
0.00118,0.015,
,,
0.0015292,0.0085,Mean
2.79E-04,5.94E-03,Std
0.001152,0,Min
0.001815,0.02,Max
