Training time, Testing error,
0.000578,0.01,
0.000742,0.01,
0.000795,0,
0.000787,0,
0.000773,0.03,
0.000796,0.01,
0.000732,0.02,
0.000739,0,
0.000552,0.02,
0.000792,0.02,
,,
0.0007286,0.012,Mean
8.52E-05,9.80E-03,Std
0.000552,0,Min
0.000796,0.03,Max
