Training time, Testing error,
0.000856,0.005,
0.001263,0,
0.001306,0,
0.001237,0,
0.001254,0,
0.001269,0,
0.001217,0,
0.000894,0,
0.001245,0,
0.001235,0,
,,
0.0011776,0.0005,Mean
1.53E-04,1.50E-03,Std
0.000856,0,Min
0.001306,0.005,Max
