Training time, Testing error,
0.000835,0.046512,
0.001259,0.139535,
0.001185,0,
0.00123,0.093023,
0.001223,0.046512,
0.00121,0.023256,
0.00087,0.139535,
0.000919,0.139535,
0.001181,0.069767,
0.000896,0.116279,
,,
0.0010808,0.0813954,Mean
1.66E-04,4.91E-02,Std
0.000835,0,Min
0.001259,0.139535,Max
