K = 5Training time, Testing error ,
0.000603,0,
0.000617,0.012658,
0.000613,0,
0.000589,0,
0.000462,0.006329,
0.000461,0,
0.000444,0,
0.000506,0,
0.000498,0,
0.00047,0,
,,
0.0005263,0.0018987,Mean
6.72E-05,4.05E-03,Std
0.000444,0,Min
0.000617,0.012658,Max
