K = 5Training time, Testing error ,
0.001437,0,
0.001283,0,
0.001934,0,
0.001296,0,
0.001455,0,
0.001298,0,
0.001947,0,
0.001284,0,
0.001263,0,
0.00131,0,
,,
0.0014507,0,Mean
2.53E-04,0.00E+00,Std
0.001263,0,Min
0.001947,0,Max
