K = 5Training time, Testing error ,
0.000474,0,
0.000825,0,
0.000472,0,
0.00072,0,
0.000487,0,
0.000524,0,
0.000475,0,
0.000487,0,
0.000474,0,
0.000687,0,
,,
0.0005625,0,Mean
1.24E-04,0.00E+00,Std
0.000472,0,Min
0.000825,0,Max
