K = 5Training time, Testing error ,
0.0006,0.008772,
0.000569,0.008772,
0.000596,0.017544,
0.000833,0.017544,
0.000588,0.035088,
0.000581,0.035088,
0.000567,0.026316,
0.000578,0.026316,
0.000581,0.035088,
0.000565,0.035088,
,,
0.0006058,0.0245616,Mean
7.65E-05,1.02E-02,Std
0.000565,0.008772,Min
0.000833,0.035088,Max
