K = 5Training time, Testing error ,
0.001903,0.343434,
0.001241,0.326599,
0.001391,0.356902,
0.001291,0.309764,
0.001222,0.279461,
0.001316,0.356902,
0.001288,0.333333,
0.001232,0.37037,
0.001287,0.323232,
0.001224,0.276094,
,,
0.0013395,0.3276091,Mean
1.94E-04,3.02E-02,Std
0.001222,0.276094,Min
0.001903,0.37037,Max
