K = 5Training time, Testing error ,
0.000292,0,
0.000336,0.027778,
0.000286,0,
0.000446,0.027778,
0.000279,0,
0.000293,0.027778,
0.000294,0,
0.000427,0.027778,
0.000287,0.055556,
0.000297,0.027778,
,,
0.0003237,0.0194446,Mean
5.84E-05,1.78E-02,Std
0.000279,0,Min
0.000446,0.055556,Max
