K = 5Training time, Testing error ,
0.000424,0.06,
0.000387,0,
0.000295,0.02,
0.000292,0.02,
0.000398,0,
0.000413,0,
0.000423,0,
0.000414,0,
0.000279,0,
0.000414,0.02,
,,
0.0003739,0.012,Mean
5.69E-05,1.83E-02,Std
0.000279,0,Min
0.000424,0.06,Max
