K = 5Training time, Testing error ,
0.000268,0.020833,
0.000411,0,
0.000406,0,
0.000396,0.020833,
0.000414,0.020833,
0.000416,0,
0.000367,0.041667,
0.000301,0.020833,
0.000391,0.020833,
0.000281,0.020833,
,,
0.0003651,0.0166665,Mean
5.56785E-05,0.0125,Std
0.000268,0,Min
0.000416,0.041667,Max
