K = 5Training time, Testing error ,
0.000403,0.046512,
0.000291,0.046512,
0.000343,0.093023,
0.000436,0.023256,
0.000281,0.046512,
0.00029,0,
0.000293,0.023256,
0.000397,0.046512,
0.000307,0.046512,
0.000289,0.093023,
,,
0.000333,0.0465118,Mean
5.50E-05,2.75E-02,Std
0.000281,0,Min
0.000436,0.093023,Max
