K = 5Training time, Testing error ,
0.000488,0.098592,
0.000494,0.15493,
0.000507,0.112676,
0.000487,0.042254,
0.000542,0.070423,
0.000539,0.183099,
0.000494,0.098592,
0.000502,0.126761,
0.000497,0.084507,
0.000497,0.056338,
,,
0.0005047,0.1028172,Mean
1.88E-05,4.13E-02,Std
0.000487,0.042254,Min
0.000542,0.183099,Max
