K = 5Training time, Testing error ,
0.000489,0.015,
0.000505,0.01,
0.000488,0.015,
0.000475,0.03,
0.000716,0.005,
0.000492,0.015,
0.000491,0.025,
0.000486,0.005,
0.0008,0.02,
0.000484,0.02,
,,
0.0005426,0.016,Mean
1.10E-04,7.68E-03,Std
0.000475,0.005,Min
0.0008,0.03,Max
