K = 5Training time, Testing error ,
0.0004,0.033333,
0.000359,0,
0.000388,0.033333,
0.000249,0.033333,
0.000242,0.033333,
0.000236,0.066667,
0.000244,0.066667,
0.000251,0.033333,
0.000243,0.033333,
0.000252,0.066667,
,,
0.0002864,0.0399999,Mean
6.37E-05,2.00E-02,Std
0.000236,0,Min
0.0004,0.066667,Max
