K = 5Training time, Testing error ,
0.000323,0.222222,
0.000308,0.12963,
0.000309,0.185185,
0.000462,0.166667,
0.0003,0.092593,
0.000336,0.12963,
0.000304,0.111111,
0.000365,0.222222,
0.000302,0.222222,
0.000442,0.12963,
,,
0.0003451,0.1611112,Mean
5.68E-05,4.69E-02,Std
0.0003,0.092593,Min
0.000462,0.222222,Max
