teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
21,0.131208,0.005,
24,0.164754,0.01,
23,0.138872,0.015,
21,0.156458,0.025,
18,0.130687,0.05,
22,0.146279,0.025,
20,0.132399,0.045,
20,0.147847,0.025,
24,0.151249,0.01,
20,0.132849,0.01,
,,,
21.3,0.1432602,0.022,Mean
1.846618531,0.011309704,0.014525839,Std
18,0.130687,0.005,Min
24,0.164754,0.05,Max
