teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
8,0.024064,0,
9,0.027849,0.041667,
9,0.023954,0.104167,
9,0.027326,0.041667,
10,0.028183,0.041667,
9,0.025031,0,
8,0.029716,0.020833,
9,0.020977,0.020833,
9,0.022408,0.041667,
9,0.022222,0.0625,
,,,
8.9,0.025173,0.0375001,Mean
0.538516481,0.002796272,0.0291668,Std
8,0.020977,0,Min
10,0.029716,0.104167,Max
