teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
29,0.055814,0.255814,
30,0.066219,0.395349,
30,0.060275,0.418605,
30,0.0598,0.302326,
29,0.057719,0.232558,
28,0.05423,0.395349,
28,0.058936,0.348837,
28,0.058806,0.27907,
29,0.056816,0.27907,
28,0.061511,0.232558,
,,,
28.9,0.0590126,0.3139536,Mean
0.830662386,0.003162897,0.066797322,Std
28,0.05423,0.232558,Min
30,0.066219,0.418605,Max
