Kernel = RBF, decision = ovo ,
Training time, Testing error,
0.016657,0.365,
0.020816,0.325,
0.021102,0.295,
0.019847,0.35,
0.015783,0.34,
0.02015,0.36,
0.016074,0.385,
0.016862,0.33,
0.02002,0.33,
0.018126,0.34,
,,
0.0185437,0.342,Mean
0.001960857,0.023579652,Std
0.015783,0.295,Min
0.021102,0.385,Max
