Kernel = RBF, decision = ovo ,
Training time, Testing error,
0.001668,0.06,
0.001032,0.02,
0.001954,0,
0.001602,0.04,
0.001554,0.04,
0.00163,0.02,
0.00103,0,
0.001684,0.02,
0.001066,0,
0.001669,0.04,
,,
0.0014889,0.024,Mean
0.000308873,0.019595918,Std
0.00103,0,Min
0.001954,0.06,Max
