Kernel = RBF, decision = ovo ,
Training time, Testing error,
0.001233,0.166667,
0.00171,0.166667,
0.001712,0.148148,
0.001152,0.148148,
0.00167,0.092593,
0.00258,0.12963,
0.001672,0.092593,
0.001612,0.148148,
0.001726,0.185185,
0.001546,0.111111,
,,
0.0016613,0.138889,mean
0.000362199,0.030145857,Std
0.001152,0.092593,Min
0.00258,0.185185,Max
