Kernel = RBF, decision = ovo ,
Training time, Testing error,
0.012014,0.04,
0.012329,0.005,
0.015244,0.015,
0.014103,0.01,
0.014368,0.015,
0.014138,0.015,
0.013007,0.025,
0.00916,0.02,
0.014146,0.02,
0.013622,0.05,
,,
0.0132131,0.0215,Mean
0.001638072,0.013047988,std
0.00916,0.005,Min
0.015244,0.05,Max
