Kernel = RBF, decision = ovo ,
Training time, Testing error,
0.082664,0.106061,
0.079158,0.147186,
0.093472,0.114719,
0.09226,0.12987,
0.080293,0.145022,
0.091088,0.114719,
0.079854,0.127706,
0.085365,0.11039,
0.090534,0.119048,
0.084024,0.12987,
,,
0.0858712,0.1244591,Mean
0.005233452,0.013281158,Std
0.079158,0.106061,Min
0.093472,0.147186,Max
