Kernel = RBF, decision = ovo ,
Training time, Testing error,
0.001203,0.145833,
0.001276,0.1875,
0.001106,0.1875,
0.001151,0.1875,
0.001287,0.208333,
0.001431,0.229167,
0.001185,0.229167,
0.001171,0.125,
0.000745,0.229167,
0.001197,0.125,
,,
0.0011752,0.1854167,Mean
0.000167303,0.038920005,Std
0.000745,0.125,Min
0.001431,0.229167,Max
