Kernel = RBF, decision = ovo ,
Training time, Testing error,
0.005788,0.04386,
0.006328,0.026316,
0.006026,0.035088,
0.006402,0.026316,
0.006078,0.070175,
0.004513,0.070175,
0.006229,0.052632,
0.005744,0.035088,
0.00654,0.035088,
0.00606,0.052632,
,,
0.0059708,0.044737,mean
0.000541914,0.015419439,std
0.004513,0.026316,Min
0.00654,0.070175,Max
