Kernel = RBF, decision = ovo ,
Training time, Testing error,
0.003671,0.04,
0.005645,0.01,
0.005531,0,
0.005689,0.04,
0.005647,0,
0.005619,0.01,
0.005639,0,
0.00568,0,
0.005699,0.01,
0.004627,0.01,
,,
0.0053447,0.012,Mean
0.000636474,0.014696938,Std
0.003671,0,Min
0.005699,0.04,Max
