Kernel = RBF, decision = ovo ,
Training time, Testing error,
0.006113,0.037975,
0.005765,0.031646,
0.005751,0.056962,
0.003582,0.031646,
0.005747,0.037975,
0.005248,0.018987,
0.00573,0.06962,
0.005922,0.018987,
0.003633,0.031646,
0.003573,0.044304,
,,
0.0051064,0.0379748,Mean
0.001009605,0.014977401,std
0.003573,0.018987,Min
0.006113,0.06962,Max
