Training time, Testing error,
0.001007,0.511628,
0.000629,0.418605,
0.000621,0.465116,
0.000636,0.488372,
0.000652,0.44186,
0.000959,0.395349,
0.000649,0.395349,
0.001031,0.395349,
0.000647,0.418605,
0.000636,0.372093,
,,
0.0007467,0.4302326,Mean
0.000166214,0.043195672,Std
0.000621,0.372093,Min
0.001031,0.511628,Max
