Training time, Testing error,
0.000546,0.056338,
0.000707,0.084507,
0.000566,0.112676,
0.000541,0.028169,
0.000645,0.084507,
0.000637,0.197183,
0.000548,0.112676,
0.000546,0.140845,
0.000547,0.112676,
0.000554,0.028169,
,,
0.0005837,0.0957746,Mean
5.5031E-05,0.04911433,Std
0.000541,0.028169,Min
0.000707,0.197183,Max
