Training time, Testing error,
0.000525,0.06,
0.00077,0.04,
0.000529,0.065,
0.000509,0.055,
0.000806,0.035,
0.000516,0.045,
0.000504,0.06,
0.000513,0.06,
0.000893,0.045,
0.000509,0.04,
,,
0.0006074,0.0505,Mean
0.00014412,0.010111874,Std
0.000504,0.035,Min
0.000893,0.065,Max
