Training time, Testing error,
0.001052,0,
0.001325,0.012658,
0.001123,0,
0.001006,0,
0.000811,0.006329,
0.00075,0,
0.000711,0,
0.000758,0,
0.000751,0,
0.000738,0,
,,
0.0009025,0.0018987,Mean
0.000199846,0.004052537,Std
0.000711,0,Min
0.001325,0.012658,Max
