Training time, Testing error,
0.000703,0.023256,
0.000498,0.046512,
0.000519,0.069767,
0.000784,0,
0.000483,0.023256,
0.000501,0,
0.000503,0.023256,
0.000679,0.023256,
0.000551,0.046512,
0.000511,0.046512,
,,
0.0005732,0.0302327,Mean
0.000101838,0.020930211,Std
0.000483,0,Min
0.000784,0.069767,Max
