Training time, Testing error,
0.001098,0.059308,
0.001098,0.036244,
0.001726,0.054366,
0.001108,0.067545,
0.001253,0.079077,
0.001115,0.057661,
0.001706,0.062603,
0.001084,0.052718,
0.001081,0.044481,
0.001588,0.072488,
,,
0.0012857,0.0586491,Mean
0.000260141,0.012088182,Std
0.001081,0.036244,Min
0.001726,0.079077,Max
