Training time, Testing error,
0.000629,0.078947,
0.000598,0.052632,
0.000642,0.070175,
0.000866,0.078947,
0.000617,0.061404,
0.000613,0.052632,
0.000614,0.096491,
0.000606,0.052632,
0.000655,0.052632,
0.000597,0.070175,
,,
0.0006437,0.0666667,Mean
7.61525E-05,0.014252382,Std
0.000597,0.052632,Min
0.000866,0.096491,Max
