teta_online = 0.1, teta_agglo = 0.400000 ,,
No hyperboxes, Training time, Testing error,
5,0.15179,0.02,
5,0.14767,0.02,
5,0.133381,0.02,
5,0.126901,0,
5,0.122331,0.06,
5,0.115622,0,
5,0.129153,0.02,
5,0.128508,0,
5,0.204657,0.02,
5,0.143388,0,
,,,
5,0.1403401,0.016,Mean
0,0.024000586,0.017435596,Std
5,0.115622,0,Min
5,0.204657,0.06,Max
