teta_online = 0.1, teta_agglo = 0.400000 ,,
No hyperboxes, Training time, Testing error,
16,0.256476,0.069767,
16,0.250864,0.069767,
16,0.254032,0.046512,
17,0.260421,0.046512,
15,0.237852,0.069767,
17,0.257149,0.023256,
15,0.25414,0.069767,
15,0.270063,0.069767,
16,0.261935,0.023256,
16,0.243942,0.069767,
,,,
15.9,0.2546874,0.0558138,Mean
0.7,0.008633142,0.01860435,Std
15,0.237852,0.023256,Min
17,0.270063,0.069767,Max
