teta_online = 0.1, teta_agglo = 0.400000 ,,
No hyperboxes, Training time, Testing error,
34,1.052962,0.01,
30,1.002939,0.015,
31,1.046314,0.01,
32,1.166911,0.02,
33,1.140132,0.025,
38,1.138123,0.005,
31,1.04453,0.025,
28,1.11616,0.025,
32,1.067237,0.025,
36,1.164025,0.01,
,,,
32.5,1.0939333,0.017,Mean
2.765863337,0.054953847,0.007483315,Std
28,1.002939,0.005,Min
38,1.166911,0.025,Max
