teta_online = 0.1, teta_agglo = 0.400000 ,,
No hyperboxes, Training time, Testing error,
36,0.854711,0,
35,0.851904,0.027778,
38,0.948387,0,
38,0.878372,0,
37,0.884508,0.027778,
38,0.89862,0,
36,0.882437,0,
35,0.865234,0,
39,0.899111,0,
36,0.838823,0.027778,
,,,
36.8,0.8802107,0.0083334,Mean
1.326649916,0.029596761,0.012729479,Std
35,0.838823,0,Min
39,0.948387,0.027778,Max
