teta_online = 0.1, teta_agglo = 0.400000 ,,
No hyperboxes, Training time, Testing error,
24,0.451635,0,
20,0.449828,0,
23,0.548689,0,
24,0.481023,0.005,
23,0.514815,0.005,
23,0.406524,0.005,
22,0.416922,0.005,
25,0.477207,0.005,
21,0.461745,0.005,
22,0.429229,0.005,
,,,
22.7,0.4637617,0.0035,Mean
1.417744688,0.041600127,0.002291288,Std
20,0.406524,0,Min
25,0.548689,0.005,Max
