teta_online = 0.1, teta_agglo = 0.400000 ,,
No hyperboxes, Training time, Testing error,
61,5.489624,0.078947,
57,5.205607,0.070175,
57,5.578361,0.035088,
58,5.268432,0.04386,
61,5.416709,0.04386,
61,5.851375,0.070175,
63,5.821378,0.035088,
61,5.689625,0.052632,
62,5.397644,0.035088,
60,5.468533,0.026316,
,,,
60.1,5.5187288,0.0491229,Mean
1.972308292,0.205946976,0.017189121,Std
57,5.205607,0.026316,Min
63,5.851375,0.078947,Max
