teta_online = 0.1, teta_agglo = 0.400000 ,,
No hyperboxes, Training time, Testing error,
118,4.225602,0.142857,
119,4.248128,0.114286,
118,4.39439,0.114286,
120,4.439368,0.114286,
117,4.191705,0.114286,
121,4.359775,0.142857,
119,4.219822,0.114286,
122,4.342656,0.128571,
117,4.284683,0.128571,
117,4.180345,0.114286,
,,,
118.8,4.2886474,0.1228572,Mean
1.661324773,0.085656696,0.01142835,Std
117,4.180345,0.114286,Min
122,4.439368,0.142857,Max
