teta_online = 0.1, teta_agglo = 0.400000 ,,
No hyperboxes, Training time, Testing error,
105,22.166512,0.073593,
101,23.269574,0.058442,
110,24.994488,0.045455,
103,24.792777,0.038961,
113,24.972434,0.036797,
102,24.678819,0.049784,
99,24.846772,0.032468,
104,24.023665,0.058442,
107,24.47271,0.041126,
104,24.307688,0.045455,
,,,
104.8,24.2525439,0.0480523,Mean
3.994996871,0.8553976,0.011768124,Std
99,22.166512,0.032468,Min
113,24.994488,0.073593,Max
