teta_online = 0.1, teta_agglo = 0.400000 ,,
No hyperboxes, Training time, Testing error,
64,14.168476,0.181208,
64,14.437567,0.184564,
63,14.537691,0.147651,
63,14.231812,0.174497,
66,14.688075,0.16443,
64,14.319028,0.151007,
59,14.365587,0.157718,
64,14.033332,0.174497,
64,14.219463,0.171141,
61,14.041845,0.16443,
,,,
63.2,14.3042876,0.1671143,Mean
1.833030278,0.19917178,0.011701768,Std
59,14.033332,0.147651,Min
66,14.688075,0.184564,Max
